sample_id,timestamp,accel_x,accel_y,accel_z,label
still_0,0,-0.004639,0.001465,0.994263,still
still_0,20,-0.00415,0.002563,0.991333,still
still_0,40,-0.004272,0.001465,0.99231,still
still_0,60,-0.004395,0.000854,0.992065,still
still_0,80,-0.003906,0.002197,0.992432,still
still_0,100,-0.004517,0.001709,0.991699,still
still_0,120,-0.004639,0.002319,0.99292,still
still_0,140,-0.005371,0.003174,0.992187,still
still_0,160,-0.005493,0.001099,0.991211,still
still_0,180,-0.00354,0.001465,0.99292,still
still_0,200,-0.003418,0.000854,0.993652,still
still_0,220,-0.004395,0.001465,0.991943,still
still_0,240,-0.003662,0.000488,0.993164,still
still_0,260,-0.003296,0.001465,0.994141,still
still_0,280,-0.003906,0.001465,0.992187,still
still_0,300,-0.004517,0.000488,0.99292,still
still_0,320,-0.004028,0.001343,0.992554,still
still_0,340,-0.004272,0.001587,0.991211,still
still_0,360,-0.003662,0.001831,0.993164,still
still_0,380,-0.00354,0.001587,0.992065,still
still_0,400,-0.004761,0.001221,0.991577,still
still_0,420,-0.004517,0.00061,0.992554,still
still_0,440,-0.004028,0.001831,0.992187,still
still_0,460,-0.003662,0.001465,0.992432,still
still_0,480,-0.004517,0.002197,0.993286,still
still_0,500,-0.00415,0.001465,0.990234,still
still_0,520,-0.00354,0.001709,0.991333,still
still_0,540,-0.005127,0.001465,0.99353,still
still_0,560,-0.004517,0.001587,0.990479,still
still_0,580,-0.004272,0.001953,0.990234,still
still_0,600,-0.004761,0.001221,0.993164,still
still_0,620,-0.005127,0.001709,0.991089,still
still_0,640,-0.003784,0.002563,0.990356,still
still_0,660,-0.004395,0.001221,0.993774,still
still_0,680,-0.004028,0.001587,0.992187,still
still_0,700,-0.004517,0.000854,0.990234,still
still_0,720,-0.004883,0.000732,0.992432,still
still_0,740,-0.003296,0.001587,0.993774,still
still_0,760,-0.004517,0.001465,0.991455,still
still_0,780,-0.005249,0.001343,0.992432,still
still_0,800,-0.005737,0.001587,0.992554,still
still_0,820,-0.003052,0.001221,0.99292,still
still_0,840,-0.003296,0,0.991455,still
still_0,860,-0.004272,0.000366,0.993042,still
still_0,880,-0.00354,0.001831,0.993164,still
still_0,900,-0.004639,0.001221,0.993408,still
still_0,920,-0.005249,0.001343,0.992432,still
still_0,940,-0.005127,0.001221,0.991943,still
still_0,960,-0.004272,0.001221,0.992554,still
